week,FTDs,Channel_Spend_1,Channel_Spend_2,Confounder_1
2025-01-06,25.5,100,60,12
2025-01-13,40.83,137,113,19
2025-01-20,53.15,174,166,26
2025-01-27,41.67,211,219,15
2025-02-03,51.6,248,92,22
2025-02-10,59.92,285,145,29
2025-02-17,49.45,322,198,18
2025-02-24,46.18,119,71,25
2025-03-03,32.7,156,124,14
2025-03-10,48.03,193,177,21
2025-03-17,60.35,230,230,28
2025-03-24,43.48,267,103,17
2025-03-31,58.8,304,156,24
2025-04-07,34.12,101,209,13
2025-04-14,38.05,138,82,20
2025-04-21,53.38,175,135,27
2025-04-28,39.9,212,188,16
2025-05-05,49.83,249,61,23
2025-05-12,42.35,286,114,12
2025-05-19,50.67,323,167,19
2025-05-26,52.8,120,220,26
2025-06-02,35.92,157,93,15
2025-06-09,45.25,194,146,22
2025-06-16,60.58,231,199,29
2025-06-23,41.7,268,72,18
2025-06-30,57.03,305,125,25
2025-07-07,36.35,102,178,14
2025-07-14,44.67,139,231,21
2025-07-21,54.6,176,104,28
2025-07-28,43.12,213,157,17
2025-08-04,52.45,250,210,24
2025-08-11,42.58,287,83,13
2025-08-18,48.9,324,136,20
2025-08-25,51.03,121,189,27
2025-09-01,38.15,158,62,16
2025-09-08,46.48,195,115,23
2025-09-15,42.0,232,168,12
2025-09-22,50.33,269,221,19
2025-09-29,54.25,306,94,26
2025-10-06,36.58,103,147,15
